town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,米倉医院,新潟県地域医療推進機構魚沼基幹病院,南魚沼市民病院,南魚沼市立ゆきぐに大和病院,町立湯沢病院,齋藤記念病院,南魚沼市民病院附属城内診療所,萌気園浦佐診療所,新潟県南魚沼保健所,医療法人社団 あんべクリニック,たかき医院,風間内科医院,大熊内科医院,ほんだ病院,医療法人(社団)河内医院,南魚沼市立 中之島診療所,公益社団法人 地域医療振興協会 今泉記念館 ゆきあかり診療所,萌気園二日町診療所,萌気園あやめ診療所,五日町病院,荒川診療所
南魚沼市早川,南魚沼市,早川,15226125056,5.3667569352114555,138.87361103378583,37.027762023663044,3086.0,124.0,1889.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,49.0,0.0,0.0,26.0,0.0,47.0,0.0,0.0,0.0
南魚沼市塩沢,南魚沼市,塩沢,15226109004,5.437965597386806,138.8515121516631,37.04257773246286,1965.0,875.0,2239.0,54.0,65.0,133.0,0.0,0.0,0.0,314.0,0.0,569.0,65.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0
南魚沼市塩沢,南魚沼市,塩沢,15226109072,5.478046993678559,138.82858278457928,37.047384106890625,164.0,0.0,44.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南魚沼市長崎,南魚沼市,長崎,15226127062,5.551607968458743,138.88837784136146,36.99809284382708,1419.0,64.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
南魚沼市三郎丸,南魚沼市,三郎丸,15226123055,5.641923777478421,138.87086411239025,37.03399163548245,1442.0,0.0,980.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
十日町市土倉,十日町市,土倉,15210110025,5.716025352436003,138.76151986312436,36.999479252911016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南魚沼市塩沢,南魚沼市,塩沢,15226109006,5.734494699412382,138.85747341180502,37.04314118152742,6694.0,1863.0,1761.0,409.0,298.0,137.0,0.0,50.0,113.0,1238.0,0.0,530.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
南魚沼市一之沢,南魚沼市,一之沢,15226132067,5.759303654317732,138.8771550470338,36.96648125545949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南魚沼市枝吉,南魚沼市,枝吉,15226126052,5.779507763794959,138.88013174865213,37.02686886975007,376.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1616.0,0.0,0.0,0.0,0.0,0.0
南魚沼市長崎,南魚沼市,長崎,15226127063,5.888363854283545,138.8913759974739,36.99001429320829,728.0,106.0,53.0,301.0,0.0,0.0,0.0,0.0,238.0,108.0,0.0,0.0,0.0,0.0,318.0,0.0,0.0,0.0,0.0,0.0,81.0
南魚沼市吉里,南魚沼市,吉里,15226117014,5.930873707444869,138.84292639573107,37.04973548716064,1029.0,540.0,1107.0,122.0,397.0,588.0,35.0,0.0,50.0,486.0,0.0,78.0,0.0,0.0,0.0,164.0,0.0,38.0,0.0,0.0,0.0
