town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,澤﨑内科クリニック,セオ医院,東濃中央クリニック,河上クリニック,広瀬クリニック,岐阜県厚生農業協同組合連合会 東濃中部医療センター 東濃厚生病院,NexWel恵那地域笑顔共創クリニック,道しるべ,陶生堂医院,恵那ファミリークリニック,明生クリニック,おおさわ医院,大湫病院附属恵那診療所,岩島医院,こせき醫院,安部医院,虹いろ在宅ケアクリニック,中部クリニック,度会医院,タチ医院,加藤クリニック,おがわ医院,蜂谷医院,恵那市国民健康保険山岡診療所,中津川市国民健康保険阿木診療所,瑞岐会診療所,勝股医院,国民健康保険上矢作病院,田中クリニック,森川クリニック,恵那市国民健康保険三郷診療所,岐阜県厚生農業協同組合連合会 東濃中部医療センター 土岐市国民健康保険駄知診療所,恵那市国民健康保険串原診療所,医療法人社団仁愛会 瑞浪病院,山田診療所,医療法人恵雄会 井口ハートクリニック,嶋崎内科医院,近藤クリニック,さつき内科・小児科クリニック,長谷川皮膚科,恵那市国民健康保険岩村診療所,林外科内科,尾崎医院,石田医院,わだ内科外科クリニック,学校法人廣池学園診療所
恵那市岩村町朝日町,恵那市,岩村町朝日町,21210081012,5.527403025957306,137.4391277652103,35.36711025022613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市岩村町大通寺,恵那市,岩村町大通寺,21210081010,5.537597406257523,137.43748856246282,35.37130407624591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市岩村町西町一丁目,恵那市,岩村町西町一丁目,21210081018,5.543740432279622,137.4395781698096,35.366355024458144,0.0,0.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市明智町徳間町,恵那市,明智町徳間町,21210083013,5.55059578811875,137.38009941386935,35.303199293055876,214.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市岩村町本町四丁目,恵那市,岩村町本町四丁目,21210081037,5.633022195978758,137.4412736240082,35.36411971739401,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市岩村町本町五丁目,恵那市,岩村町本町五丁目,21210081038,5.65692113726627,137.44107672919216,35.365717740084456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市岩村町新道,恵那市,岩村町新道,21210081013,5.662495430035119,137.44069841093315,35.367053820691105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0
恵那市明智町新町,恵那市,明智町新町,21210083009,5.711267799870629,137.3871771860512,35.302030009956376,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0
恵那市岩村町江戸町,恵那市,岩村町江戸町,21210081011,5.773064187007063,137.44103748213124,35.36953035490057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市明智町常盤町,恵那市,明智町常盤町,21210083012,5.801815411124304,137.39001421236594,35.301501592351016,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
