CITY_NAME,S_NAME,_city_,_sname_,dominant,max_count,match_type2
練馬区,谷原一丁目,練馬区,谷原一丁目,練馬区石神井休日急患診療所,1265,exact
練馬区,谷原二丁目,練馬区,谷原二丁目,順天堂大学医学部附属練馬病院,1358,exact
練馬区,谷原三丁目,練馬区,谷原三丁目,順天堂大学医学部附属練馬病院,678,exact
練馬区,谷原四丁目,練馬区,谷原四丁目,練馬区石神井休日急患診療所,924,exact
練馬区,谷原五丁目,練馬区,谷原五丁目,練馬区石神井休日急患診療所,1151,exact
練馬区,谷原六丁目,練馬区,谷原六丁目,順天堂大学医学部附属練馬病院,1180,exact
練馬区,三原台一丁目,練馬区,三原台一丁目,練馬区石神井休日急患診療所,3582,exact
練馬区,三原台二丁目,練馬区,三原台二丁目,練馬区石神井休日急患診療所,1363,exact
練馬区,三原台三丁目,練馬区,三原台三丁目,練馬区石神井休日急患診療所,2115,exact
練馬区,石神井町一丁目,練馬区,石神井町一丁目,練馬区石神井休日急患診療所,3360,exact
練馬区,石神井町二丁目,練馬区,石神井町二丁目,練馬区石神井休日急患診療所,3243,exact
練馬区,石神井町三丁目,練馬区,石神井町三丁目,練馬区石神井休日急患診療所,2881,exact
練馬区,石神井町四丁目,練馬区,石神井町四丁目,練馬区石神井休日急患診療所,2508,exact
練馬区,石神井町五丁目,練馬区,石神井町五丁目,練馬区石神井休日急患診療所,1695,exact
練馬区,石神井町六丁目,練馬区,石神井町六丁目,練馬区石神井休日急患診療所,4614,exact
練馬区,石神井町七丁目,練馬区,石神井町七丁目,練馬区石神井休日急患診療所,6559,exact
練馬区,石神井町八丁目,練馬区,石神井町八丁目,練馬区石神井休日急患診療所,4381,exact
練馬区,石神井台一丁目,練馬区,石神井台一丁目,練馬区石神井休日急患診療所,1666,exact
練馬区,石神井台二丁目,練馬区,石神井台二丁目,練馬区石神井休日急患診療所,4135,exact
練馬区,石神井台三丁目,練馬区,石神井台三丁目,練馬区石神井休日急患診療所,8557,exact
練馬区,石神井台四丁目,練馬区,石神井台四丁目,順天堂大学医学部附属練馬病院,2233,exact
練馬区,石神井台五丁目,練馬区,石神井台五丁目,練馬区石神井休日急患診療所,2647,exact
練馬区,石神井台六丁目,練馬区,石神井台六丁目,大泉生協病院,2397,exact
練馬区,石神井台七丁目,練馬区,石神井台七丁目,医療法人社団　千秋会　田中脳神経外科病院,888,exact
練馬区,石神井台八丁目,練馬区,石神井台八丁目,医療法人社団　千秋会　田中脳神経外科病院,1349,exact
練馬区,上石神井一丁目,練馬区,上石神井一丁目,市毛診療所 東京都練馬区,2283,exact
練馬区,上石神井二丁目,練馬区,上石神井二丁目,医療法人社団　市毛整形外科診療所,4476,exact
練馬区,上石神井三丁目,練馬区,上石神井三丁目,医療法人社団　市毛整形外科診療所,3506,exact
