CITY_NAME,S_NAME,dominant,max_count,topN_dominant,topN_max_count,match_type2
武蔵野市,吉祥寺北町三丁目,武蔵野陽和会病院,1832,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,1124,exact
武蔵野市,吉祥寺北町四丁目,武蔵野陽和会病院,2743,医療法人社団　東京白報会　みたか在宅診療所,2546,exact
武蔵野市,吉祥寺北町五丁目,武蔵野陽和会病院,2006,医療法人社団　東京白報会　みたか在宅診療所,849,exact
武蔵野市,中町一丁目,医療法人社団　東京白報会　みたか在宅診療所,3695,医療法人社団　東京白報会　みたか在宅診療所,3695,exact
武蔵野市,中町二丁目,医療法人社団　東京白報会　みたか在宅診療所,5084,医療法人社団　東京白報会　みたか在宅診療所,5084,exact
武蔵野市,中町三丁目,医療法人社団　東京白報会　みたか在宅診療所,4169,医療法人社団　東京白報会　みたか在宅診療所,4169,exact
武蔵野市,西久保一丁目,医療法人社団　東京白報会　みたか在宅診療所,4202,医療法人社団　東京白報会　みたか在宅診療所,4202,exact
武蔵野市,西久保二丁目,医療法人社団　東京白報会　みたか在宅診療所,6536,医療法人社団　東京白報会　みたか在宅診療所,6536,exact
武蔵野市,西久保三丁目,医療法人社団　東京白報会　みたか在宅診療所,8279,医療法人社団　東京白報会　みたか在宅診療所,8279,exact
武蔵野市,緑町一丁目,医療法人社団　東京白報会　みたか在宅診療所,1300,医療法人社団　東京白報会　みたか在宅診療所,1300,exact
武蔵野市,緑町二丁目,武蔵野陽和会病院,8398,医療法人社団　東京白報会　みたか在宅診療所,4661,exact
武蔵野市,緑町三丁目,医療法人社団　東京白報会　みたか在宅診療所,469,医療法人社団　東京白報会　みたか在宅診療所,469,exact
武蔵野市,八幡町一丁目,医療法人社団　欣助会　吉祥寺病院,11795,医療法人社団　東京白報会　みたか在宅診療所,818,exact
武蔵野市,八幡町二丁目,武蔵野陽和会病院,387,武蔵野赤十字病院,300,exact
武蔵野市,八幡町三丁目,医療法人社団　東京白報会　みたか在宅診療所,1235,医療法人社団　東京白報会　みたか在宅診療所,1235,exact
武蔵野市,八幡町四丁目,医療法人社団　ゆうの会　むさしの共立診療所,1428,医療法人社団　東京白報会　みたか在宅診療所,472,exact
武蔵野市,関前一丁目,医療法人社団　東京白報会　みたか在宅診療所,538,医療法人社団　東京白報会　みたか在宅診療所,538,exact
武蔵野市,関前二丁目,医療法人社団　東京白報会　みたか在宅診療所,4204,医療法人社団　東京白報会　みたか在宅診療所,4204,exact
武蔵野市,関前三丁目,医療法人社団　東京白報会　みたか在宅診療所,3697,医療法人社団　東京白報会　みたか在宅診療所,3697,exact
武蔵野市,関前四丁目,医療法人社団　薫風会　山田病院,680,医療法人社団　東京白報会　みたか在宅診療所,225,exact
武蔵野市,関前五丁目,医療法人　徳洲会　武蔵野徳洲会病院,901,武蔵野赤十字病院,722,exact
武蔵野市,境一丁目,一般財団法人　天誠会　武蔵境病院,2548,武蔵野赤十字病院,1886,exact
武蔵野市,境二丁目,一般財団法人　天誠会　武蔵境病院,2885,武蔵野赤十字病院,1105,exact
