town,town_norm,CITY_NAME_from_master,S_NAME_from_master,total_87,東久留米市休日診療所,佐々総合病院,公立昭和病院,武蔵野赤十字病院,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,緑風荘病院,杏林大学医学部付属病院,順天堂大学医学部附属練馬病院,医療法人社団　東京白報会　みたか在宅診療所,医療法人　徳洲会　武蔵野徳洲会病院
練馬区上石神井三丁目,練馬区上石神井三丁目,練馬区,上石神井三丁目,10366,0.0,0.0,120.0,168.0,185.0,0.0,0.0,1915.0,0.0,296.0
練馬区上石神井四丁目,練馬区上石神井四丁目,練馬区,上石神井四丁目,12530,0.0,130.0,190.0,288.0,439.0,0.0,66.0,319.0,0.0,137.0
練馬区上石神井南町,練馬区上石神井南町,練馬区,上石神井南町,7151,59.0,103.0,52.0,0.0,196.0,0.0,95.0,180.0,0.0,53.0
練馬区下石神井二丁目,練馬区下石神井二丁目,練馬区,下石神井二丁目,6253,99.0,0.0,0.0,0.0,124.0,0.0,326.0,1140.0,0.0,0.0
練馬区下石神井四丁目,練馬区下石神井四丁目,練馬区,下石神井四丁目,7695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1411.0,0.0,0.0
練馬区下石神井五丁目,練馬区下石神井五丁目,練馬区,下石神井五丁目,5413,0.0,0.0,100.0,0.0,0.0,0.0,303.0,241.0,0.0,0.0
練馬区下石神井六丁目,練馬区下石神井六丁目,練馬区,下石神井六丁目,7454,105.0,47.0,0.0,0.0,60.0,0.0,191.0,1847.0,0.0,0.0
練馬区立野町,練馬区立野町,練馬区,立野町,13864,0.0,0.0,75.0,295.0,1516.0,0.0,1045.0,0.0,0.0,0.0
練馬区関町東一丁目,練馬区関町東一丁目,練馬区,関町東一丁目,13231,51.0,323.0,624.0,302.0,717.0,0.0,100.0,983.0,0.0,170.0
練馬区関町東二丁目,練馬区関町東二丁目,練馬区,関町東二丁目,1914,0.0,146.0,102.0,62.0,125.0,0.0,0.0,207.0,0.0,0.0
練馬区関町北一丁目,練馬区関町北一丁目,練馬区,関町北一丁目,10193,0.0,168.0,0.0,0.0,0.0,134.0,59.0,665.0,71.0,190.0
練馬区関町北二丁目,練馬区関町北二丁目,練馬区,関町北二丁目,17623,0.0,1136.0,409.0,155.0,590.0,56.0,857.0,595.0,101.0,0.0
練馬区関町北三丁目,練馬区関町北三丁目,練馬区,関町北三丁目,18166,179.0,0.0,92.0,385.0,356.0,0.0,134.0,428.0,439.0,580.0
練馬区関町北四丁目,練馬区関町北四丁目,練馬区,関町北四丁目,11084,0.0,671.0,63.0,256.0,571.0,0.0,55.0,199.0,532.0,115.0
練馬区関町北五丁目,練馬区関町北五丁目,練馬区,関町北五丁目,11906,63.0,346.0,260.0,376.0,189.0,52.0,714.0,1764.0,283.0,210.0
練馬区関町南一丁目,練馬区関町南一丁目,練馬区,関町南一丁目,8359,0.0,0.0,0.0,0.0,186.0,0.0,139.0,99.0,52.0,0.0
練馬区関町南二丁目,練馬区関町南二丁目,練馬区,関町南二丁目,17431,57.0,231.0,0.0,0.0,1290.0,54.0,234.0,58.0,0.0,67.0
練馬区関町南三丁目,練馬区関町南三丁目,練馬区,関町南三丁目,21017,0.0,0.0,0.0,187.0,1590.0,0.0,953.0,644.0,61.0,0.0
練馬区関町南四丁目,練馬区関町南四丁目,練馬区,関町南四丁目,47609,0.0,536.0,73.0,1145.0,1380.0,0.0,1853.0,282.0,3201.0,507.0
練馬区東大泉一丁目,練馬区東大泉一丁目,練馬区,東大泉一丁目,6367,0.0,160.0,46.0,0.0,43.0,0.0,0.0,2344.0,0.0,0.0
練馬区東大泉三丁目,練馬区東大泉三丁目,練馬区,東大泉三丁目,11927,0.0,197.0,46.0,0.0,0.0,0.0,0.0,2214.0,0.0,0.0
練馬区東大泉四丁目,練馬区東大泉四丁目,練馬区,東大泉四丁目,3889,0.0,0.0,0.0,0.0,71.0,0.0,0.0,967.0,0.0,0.0
練馬区東大泉五丁目,練馬区東大泉五丁目,練馬区,東大泉五丁目,8272,52.0,0.0,0.0,0.0,69.0,0.0,0.0,1841.0,115.0,49.0
練馬区東大泉六丁目,練馬区東大泉六丁目,練馬区,東大泉六丁目,13940,58.0,83.0,50.0,433.0,400.0,110.0,356.0,1700.0,0.0,52.0
練馬区東大泉七丁目,練馬区東大泉七丁目,練馬区,東大泉七丁目,16178,59.0,252.0,153.0,0.0,337.0,0.0,122.0,2358.0,138.0,0.0
練馬区西大泉一丁目,練馬区西大泉一丁目,練馬区,西大泉一丁目,6301,0.0,162.0,50.0,0.0,158.0,0.0,0.0,1453.0,83.0,0.0
練馬区西大泉二丁目,練馬区西大泉二丁目,練馬区,西大泉二丁目,5073,44.0,178.0,0.0,177.0,0.0,0.0,0.0,1554.0,70.0,0.0
練馬区西大泉三丁目,練馬区西大泉三丁目,練馬区,西大泉三丁目,7139,0.0,323.0,73.0,0.0,0.0,0.0,0.0,2072.0,85.0,0.0
練馬区西大泉四丁目,練馬区西大泉四丁目,練馬区,西大泉四丁目,8772,0.0,47.0,0.0,46.0,93.0,0.0,381.0,868.0,0.0,0.0
練馬区西大泉五丁目,練馬区西大泉五丁目,練馬区,西大泉五丁目,9270,0.0,361.0,57.0,373.0,68.0,0.0,65.0,2672.0,158.0,0.0
練馬区西大泉六丁目,練馬区西大泉六丁目,練馬区,西大泉六丁目,7001,0.0,217.0,0.0,106.0,0.0,0.0,0.0,1959.0,0.0,0.0
練馬区南大泉一丁目,練馬区南大泉一丁目,練馬区,南大泉一丁目,11749,142.0,742.0,42.0,94.0,483.0,0.0,0.0,1723.0,0.0,94.0
練馬区南大泉二丁目,練馬区南大泉二丁目,練馬区,南大泉二丁目,10999,100.0,714.0,923.0,540.0,166.0,107.0,0.0,1718.0,59.0,243.0
練馬区南大泉三丁目,練馬区南大泉三丁目,練馬区,南大泉三丁目,9625,59.0,498.0,187.0,57.0,204.0,0.0,511.0,1705.0,0.0,238.0
練馬区南大泉四丁目,練馬区南大泉四丁目,練馬区,南大泉四丁目,15147,46.0,573.0,234.0,0.0,0.0,0.0,221.0,3417.0,315.0,56.0
練馬区南大泉五丁目,練馬区南大泉五丁目,練馬区,南大泉五丁目,7667,0.0,798.0,149.0,0.0,0.0,52.0,162.0,1758.0,259.0,51.0
練馬区南大泉六丁目,練馬区南大泉六丁目,練馬区,南大泉六丁目,3468,0.0,54.0,382.0,230.0,0.0,0.0,0.0,465.0,0.0,0.0
練馬区大泉学園町二丁目,練馬区大泉学園町二丁目,練馬区,大泉学園町二丁目,9074,0.0,93.0,0.0,0.0,210.0,0.0,91.0,908.0,0.0,0.0
練馬区大泉学園町三丁目,練馬区大泉学園町三丁目,練馬区,大泉学園町三丁目,5583,85.0,0.0,0.0,0.0,48.0,39.0,0.0,1562.0,0.0,0.0
武蔵野市吉祥寺東町一丁目,武蔵野市吉祥寺東町一丁目,武蔵野市,吉祥寺東町一丁目,7341,0.0,0.0,0.0,622.0,1340.0,0.0,597.0,0.0,0.0,0.0
武蔵野市吉祥寺東町二丁目,武蔵野市吉祥寺東町二丁目,武蔵野市,吉祥寺東町二丁目,14327,0.0,0.0,0.0,1064.0,2640.0,0.0,1380.0,176.0,0.0,172.0
武蔵野市吉祥寺東町三丁目,武蔵野市吉祥寺東町三丁目,武蔵野市,吉祥寺東町三丁目,9342,0.0,0.0,0.0,676.0,1117.0,122.0,506.0,71.0,176.0,126.0
