CITY_NAME,S_NAME,dominant,dominant_top,max_count,match_type2
三鷹市,上連雀八丁目,杏林大学医学部付属病院,その他(上位7以外),2418,exact
三鷹市,上連雀九丁目,杏林大学医学部付属病院,その他(上位7以外),1913,exact
三鷹市,井口一丁目,武蔵野赤十字病院,武蔵野赤十字病院,3287,exact
三鷹市,井口二丁目,医療法人社団　永寿会　三鷹中央病院,その他(上位7以外),971,exact
三鷹市,井口三丁目,境南耳鼻咽喉科診療所,その他(上位7以外),760,exact
三鷹市,井口四丁目,医療法人社団　永寿会　三鷹中央病院,その他(上位7以外),863,exact
三鷹市,井口五丁目,医療法人社団　永寿会　三鷹中央病院,その他(上位7以外),382,exact
三鷹市,深大寺一丁目,武蔵野赤十字病院,武蔵野赤十字病院,1163,exact
三鷹市,深大寺二丁目,武蔵野赤十字病院,武蔵野赤十字病院,1516,exact
三鷹市,深大寺三丁目,武蔵野赤十字病院,武蔵野赤十字病院,756,exact
三鷹市,野崎一丁目,杏林大学医学部付属病院,その他(上位7以外),671,exact
三鷹市,野崎二丁目,杏林大学医学部付属病院,その他(上位7以外),1663,exact
三鷹市,野崎三丁目,武蔵野赤十字病院,武蔵野赤十字病院,1740,exact
三鷹市,野崎四丁目,医療法人社団　永寿会　三鷹中央病院,その他(上位7以外),273,exact
三鷹市,大沢三丁目,杏林大学医学部付属病院,その他(上位7以外),947,exact
調布市,深大寺北町三丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,415,exact
調布市,深大寺北町四丁目,医療法人社団　欣助会　吉祥寺病院,その他(上位7以外),9505,exact
調布市,深大寺北町五丁目,医療法人社団　欣助会　吉祥寺病院,その他(上位7以外),11325,exact
調布市,深大寺北町六丁目,杏林大学医学部付属病院,その他(上位7以外),919,exact
調布市,深大寺東町八丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,737,exact
小金井市,東町一丁目,武蔵野赤十字病院,武蔵野赤十字病院,1009,exact
小金井市,東町二丁目,武蔵野赤十字病院,武蔵野赤十字病院,996,exact
小金井市,東町三丁目,公益財団法人　井之頭病院,その他(上位7以外),1077,exact
小金井市,東町四丁目,武蔵野赤十字病院,武蔵野赤十字病院,1425,exact
小金井市,東町五丁目,小金井リハビリテーション病院,その他(上位7以外),1429,exact
小金井市,梶野町一丁目,武蔵野赤十字病院,武蔵野赤十字病院,200,exact
小金井市,梶野町二丁目,武蔵野赤十字病院,武蔵野赤十字病院,296,exact
小金井市,梶野町三丁目,社会福祉法人　聖ヨハネ会　桜町病院,その他(上位7以外),375,exact
小金井市,梶野町四丁目,武蔵野赤十字病院,武蔵野赤十字病院,1571,exact
小金井市,梶野町五丁目,武蔵野赤十字病院,武蔵野赤十字病院,994,exact
小金井市,関野町一丁目,共立診療所,その他(上位7以外),195,exact
小金井市,関野町二丁目,社会福祉法人　聖ヨハネ会　桜町病院,その他(上位7以外),734,exact
小金井市,緑町一丁目,武蔵野赤十字病院,武蔵野赤十字病院,521,exact
小金井市,緑町二丁目,社会福祉法人　聖ヨハネ会　桜町病院,その他(上位7以外),1639,exact
小金井市,緑町三丁目,社会福祉法人　聖ヨハネ会　桜町病院,その他(上位7以外),2989,exact
小金井市,緑町四丁目,社会福祉法人　聖ヨハネ会　桜町病院,その他(上位7以外),2224,exact
小金井市,緑町五丁目,社会福祉法人　聖ヨハネ会　桜町病院,その他(上位7以外),4250,exact
小金井市,中町一丁目,医療法人社団　大日会　小金井太陽病院,その他(上位7以外),1948,exact
小金井市,中町二丁目,医療法人社団　大日会　小金井太陽病院,その他(上位7以外),2154,exact
小金井市,中町三丁目,医療法人社団　大日会　小金井太陽病院,その他(上位7以外),4309,exact
小金井市,中町四丁目,小金井リハビリテーション病院,その他(上位7以外),1527,exact
小金井市,前原町二丁目,小金井リハビリテーション病院,その他(上位7以外),2571,exact
小金井市,前原町三丁目,小金井リハビリテーション病院,その他(上位7以外),1954,exact
小金井市,本町一丁目,医療法人社団　大日会　小金井太陽病院,その他(上位7以外),5243,exact
小金井市,本町二丁目,武蔵野赤十字病院,武蔵野赤十字病院,1517,exact
小金井市,本町三丁目,社会福祉法人　聖ヨハネ会　桜町病院,その他(上位7以外),1239,exact
小金井市,本町四丁目,社会福祉法人　聖ヨハネ会　桜町病院,その他(上位7以外),1221,exact
小金井市,本町五丁目,社会福祉法人　聖ヨハネ会　桜町病院,その他(上位7以外),2314,exact
小金井市,本町六丁目,共立診療所,その他(上位7以外),2145,exact
小金井市,桜町一丁目,社会福祉法人　聖ヨハネ会　桜町病院,その他(上位7以外),4945,exact
小金井市,桜町二丁目,医療法人社団　欣助会　吉祥寺病院,その他(上位7以外),1186,exact
小金井市,桜町三丁目,社会福祉法人　聖ヨハネ会　桜町病院,その他(上位7以外),508,exact
小金井市,貫井北町一丁目,武蔵野赤十字病院,武蔵野赤十字病院,918,exact
小金井市,貫井北町二丁目,社会福祉法人　聖ヨハネ会　桜町病院,その他(上位7以外),1913,exact
小金井市,貫井北町三丁目,社会福祉法人　聖ヨハネ会　桜町病院,その他(上位7以外),1450,exact
小金井市,貫井北町四丁目,三多摩医療生活協同組合　国分寺診療所,その他(上位7以外),134,exact
小平市,小川東町,緑風荘病院,その他(上位7以外),963,exact
小平市,小川東町三丁目,緑風荘病院,その他(上位7以外),3499,exact
小平市,小川東町四丁目,国立研究開発法人　国立精神・神経医療研究センター病院,その他(上位7以外),4617,exact
小平市,小川東町五丁目,緑風荘病院,その他(上位7以外),1983,exact
小平市,上水南町一丁目,医療法人社団　武蔵野会　一橋病院,その他(上位7以外),1588,exact
小平市,上水南町二丁目,国立研究開発法人　国立精神・神経医療研究センター病院,その他(上位7以外),574,exact
小平市,上水南町三丁目,社会福祉法人　聖ヨハネ会　桜町病院,その他(上位7以外),1159,exact
小平市,上水南町四丁目,社会福祉法人　聖ヨハネ会　桜町病院,その他(上位7以外),1129,exact
小平市,喜平町一丁目,社会福祉法人　聖ヨハネ会　桜町病院,その他(上位7以外),1260,exact
小平市,喜平町二丁目,学園診療所,その他(上位7以外),564,exact
小平市,喜平町三丁目,公立昭和病院,公立昭和病院,1470,exact
小平市,学園西町二丁目,学園診療所,その他(上位7以外),2890,exact
小平市,学園東町,公立昭和病院,公立昭和病院,1651,exact
小平市,学園東町一丁目,学園診療所,その他(上位7以外),2026,exact
小平市,学園東町二丁目,公立昭和病院,公立昭和病院,1686,exact
小平市,学園東町三丁目,公立昭和病院,公立昭和病院,612,exact
小平市,美園町一丁目,みその診療所,その他(上位7以外),2198,exact
小平市,美園町二丁目,公立昭和病院,公立昭和病院,1537,exact
小平市,美園町三丁目,社会福祉法人　多摩済生医療団　多摩済生病院,その他(上位7以外),2388,exact
小平市,回田町,公立昭和病院,公立昭和病院,2801,exact
小平市,御幸町,社会福祉法人　聖ヨハネ会　桜町病院,その他(上位7以外),1312,exact
小平市,天神町一丁目,公立昭和病院,公立昭和病院,3231,exact
小平市,天神町二丁目,公立昭和病院,公立昭和病院,1910,exact
小平市,天神町三丁目,公立昭和病院,公立昭和病院,610,exact
小平市,天神町四丁目,公立昭和病院,公立昭和病院,2182,exact
小平市,大沼町一丁目,公立昭和病院,公立昭和病院,2289,exact
小平市,大沼町二丁目,公立昭和病院,公立昭和病院,1360,exact
小平市,大沼町三丁目,公立昭和病院,公立昭和病院,818,exact
小平市,大沼町四丁目,医療法人社団　好仁会　滝山病院,その他(上位7以外),1837,exact
小平市,大沼町五丁目,公立昭和病院,公立昭和病院,427,exact
小平市,大沼町六丁目,公立昭和病院,公立昭和病院,977,exact
小平市,大沼町七丁目,公立昭和病院,公立昭和病院,2570,exact
小平市,花小金井南町一丁目,公立昭和病院,公立昭和病院,2138,exact
小平市,花小金井南町二丁目,公立昭和病院,公立昭和病院,469,exact
小平市,花小金井南町三丁目,公立昭和病院,公立昭和病院,1600,exact
小平市,花小金井一丁目,公立昭和病院,公立昭和病院,2206,exact
小平市,花小金井二丁目,佐々総合病院,佐々総合病院,1421,exact
小平市,花小金井三丁目,公立昭和病院,公立昭和病院,1746,exact
小平市,花小金井四丁目,公立昭和病院,公立昭和病院,1346,exact
小平市,花小金井五丁目,公立昭和病院,公立昭和病院,2877,exact
小平市,花小金井六丁目,公立昭和病院,公立昭和病院,1403,exact
小平市,花小金井七丁目,公立昭和病院,公立昭和病院,4249,exact
小平市,花小金井八丁目,公立昭和病院,公立昭和病院,5386,exact
東村山市,本町一丁目,社会医療法人社団　愛有会　久米川病院,その他(上位7以外),4163,exact
東村山市,本町三丁目,社会医療法人社団　愛有会　久米川病院,その他(上位7以外),3470,exact
東村山市,本町四丁目,社会医療法人社団　愛有会　久米川病院,その他(上位7以外),9664,exact
東村山市,青葉町一丁目,地方独立行政法人　東京都立病院機構　東京都立多摩北部医療センター,その他(上位7以外),7450,exact
東村山市,青葉町四丁目,医療法人社団　新新会　多摩あおば病院,その他(上位7以外),355,exact
東村山市,恩多町一丁目,地方独立行政法人　東京都立病院機構　東京都立多摩北部医療センター,その他(上位7以外),1722,exact
東村山市,恩多町二丁目,緑風荘病院,その他(上位7以外),3766,exact
東村山市,恩多町三丁目,社会医療法人社団　愛有会　久米川病院,その他(上位7以外),1416,exact
東村山市,恩多町四丁目,社会医療法人社団　愛有会　久米川病院,その他(上位7以外),1878,exact
東村山市,恩多町五丁目,医療法人社団　新新会　多摩あおば病院,その他(上位7以外),2518,exact
東村山市,萩山町一丁目,緑風荘病院,その他(上位7以外),4347,exact
東村山市,萩山町二丁目,緑風荘病院,その他(上位7以外),6872,exact
東村山市,萩山町三丁目,緑風荘病院,その他(上位7以外),13559,exact
東村山市,萩山町四丁目,緑風荘病院,その他(上位7以外),2640,exact
東村山市,萩山町五丁目,緑風荘病院,その他(上位7以外),2060,exact
東村山市,栄町一丁目,緑風荘病院,その他(上位7以外),3754,exact
東村山市,栄町二丁目,緑風荘病院,その他(上位7以外),4999,exact
東村山市,栄町三丁目,緑風荘病院,その他(上位7以外),18130,exact
東村山市,美住町一丁目,緑風荘病院,その他(上位7以外),11384,exact
東村山市,美住町二丁目,東村山市休日準夜応急診療所,その他(上位7以外),1962,exact
清瀬市,上清戸一丁目,東京都臨時医療施設（国立病院機構東京病院）,その他(上位7以外),869,exact
清瀬市,元町一丁目,地方独立行政法人　東京都立病院機構　東京都立多摩北部医療センター,その他(上位7以外),1498,exact
清瀬市,松山一丁目,医療法人社団　新新会　多摩あおば病院,その他(上位7以外),1192,exact
清瀬市,松山二丁目,地方独立行政法人　東京都立病院機構　東京都立多摩北部医療センター,その他(上位7以外),913,exact
清瀬市,松山三丁目,公益財団法人　結核予防会　複十字病院,その他(上位7以外),1783,exact
清瀬市,竹丘一丁目,救世軍　清瀬病院,その他(上位7以外),3607,exact
清瀬市,竹丘二丁目,東京都臨時医療施設（国立病院機構東京病院）,その他(上位7以外),3418,exact
清瀬市,竹丘三丁目,東京都臨時医療施設（国立病院機構東京病院）,その他(上位7以外),5213,exact
東久留米市,上の原一丁目,東久留米市休日診療所,東久留米市休日診療所,2250,exact
東久留米市,上の原二丁目,堀ノ内病院,その他(上位7以外),179,exact
東久留米市,神宝町一丁目,東久留米市休日診療所,東久留米市休日診療所,1272,exact
東久留米市,神宝町二丁目,東久留米市休日診療所,東久留米市休日診療所,1283,exact
東久留米市,金山町一丁目,東久留米市休日診療所,東久留米市休日診療所,1675,exact
東久留米市,金山町二丁目,東久留米市休日診療所,東久留米市休日診療所,1573,exact
東久留米市,氷川台一丁目,東久留米市休日診療所,東久留米市休日診療所,1414,exact
