town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,医療法人徳洲会 大垣徳洲会病院,岐阜清流病院,ふじい内科クリニック,大垣中央病院,医療法人静風会 大垣病院,網代診療所,大垣市民病院,ほづみ耳鼻咽喉科クリニック,医療法人社団誠広会 平野総合病院,大垣バイパス医院,医療法人社団幸紀会 安江病院,野口整形外科内科医院,のだ医院,医療法人社団橘会 新生病院,赤坂あきたクリニック,国枝医院 瑞穂市,さくらクリニック,かんべ内科クリニック,まくわクリニック,いろは在宅ケアクリニック,はやかわクリニック,大垣セントラルクリニック,しまメンタルクリニック,シブヤ皮フ科・内科クリニック,三城クリニック,井口クリニック,しずさと診療所,沼口医院,田辺内科医院,まつながファミリークリニック,医療法人守田クリニック,名和病院,岐北クリニック,梅田クリニック,なかしま医院,小林医院,和田医院,福田内科医院,えさきクリニック,のぎの森クリニック,堀部クリニック,社会福祉法人和光会 和光会在宅クリニック大垣,朝日大学医科歯科医療センター,大橋医院,医療法人和光会 山田病院,大井内科クリニック,サンシャインM&Dクリニック,森外科医院,北方ひまわりクリニック,いかわクリニック,しま医院,東堀クリニック,おおくま内科クリニック,むらせファミリークリニック,またまるこどもアレルギークリニック,野原クリニック,国枝医院 本巣市,こじま内科クリニック,かわごえクリニック,揖斐川町春日診療所
揖斐川町若松,揖斐川町,若松,21401004000,3.2244836459404533,136.5645787084904,35.51083815162319,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0
揖斐川町谷汲深坂,揖斐川町,谷汲深坂,21401029000,3.3355212477610023,136.60166668267897,35.502692212192805,56.0,0.0,0.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,0.0,0.0,0.0,0.0,89.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,75.0
池田町萩原,池田町,萩原,21404047000,3.349180197585392,136.5744499970509,35.45275685102199,66.0,0.0,948.0,54.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町段,池田町,段,21404013000,3.3569044676441644,136.5456951281188,35.46338871404058,169.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町宮地,池田町,宮地,21404016000,3.3880371459269853,136.55325967102058,35.457520817353085,123.0,0.0,1205.0,0.0,630.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,87.0,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町舟子,池田町,舟子,21404015000,3.5359337208489583,136.53962624181986,35.46780180231322,0.0,0.0,487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町上田,池田町,上田,21404041000,3.560712944267649,136.58363940844595,35.45182776785869,144.0,0.0,876.0,206.0,326.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,129.0,393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町市場,揖斐川町,市場,21401023000,3.5645798600327123,136.53610818886324,35.47421046329793,0.0,0.0,940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.0,0.0,0.0,0.0,0.0
池田町砂畑,池田町,砂畑,21404046000,3.658751627739611,136.58902653408236,35.452328330969536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町小牛,池田町,小牛,21404012000,3.690791145024796,136.5570842454783,35.4526801328583,51.0,429.0,1203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
