TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計,まえだクリニック,サン・ラポール南房総診療所,医療法人社団 慈永会 永峯医院,医療法人社団 雄成会 中村医院,医療法人社団周晴会 鈴木病院,医療法人社団芙蓉会 千葉芙蓉病院,君津サンクリニック,君津市国保小櫃診療所,君津市国保松丘診療所,君津市国保笹診療所,平岡医院,榎本医院,社会医療法人社団さつき会 かずさアカデミアクリニック,鴨川市立国保病院,LON,LAT,dist_km,total_patients,town,town_norm,match_type
12225139000,君津市,草川原,君津市,草川原,君津市草川原,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.0,0.0,0.0,140.09355582263763,35.21908145756318,5.284634703439813,578.0,君津市草川原,君津市草川原,code_in_car30
12225109000,君津市,小市部,君津市,小市部,君津市小市部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,0.0,204.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,140.0837659147333,35.301514126287366,5.361419778491134,333.0,君津市小市部,君津市小市部,code_in_car30
12225078000,君津市,西猪原,君津市,西猪原,君津市西猪原,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0000229156009,35.25682636268009,5.395183431373634,18.0,君津市西猪原,君津市西猪原,code_in_car30
12225076000,君津市,日渡根,君津市,日渡根,君津市日渡根,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,140.0009511812065,35.26788717031101,5.432194845611085,131.0,君津市日渡根,君津市日渡根,code_in_car30
12225062000,君津市,糸川,君津市,糸川,君津市糸川,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,0.0,140.00524202650473,35.282943242363274,5.670940503771014,253.0,君津市糸川,君津市糸川,code_in_car30
12225098000,君津市,岩出,君津市,岩出,君津市岩出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,90.0,93.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,140.04512350901913,35.30744689089961,5.6952109381960305,458.0,君津市岩出,君津市岩出,code_in_car30
12225084000,君津市,東日笠,君津市,東日笠,君津市東日笠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,140.0023593256235,35.23498159227117,5.760046309208575,56.0,君津市東日笠,君津市東日笠,code_in_car30
12225113000,君津市,川谷,君津市,川谷,君津市川谷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.1081719617005,35.29206715716208,5.854981185890675,386.0,君津市川谷,君津市川谷,code_in_car30
12225085000,君津市,二入,君津市,二入,君津市二入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,140.0111299718702,35.22223423228526,5.889955817087963,33.0,君津市二入,君津市二入,code_in_car30
12219268000,市原市,石塚,市原市,石塚,市原市石塚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.12345557978077,35.266379231063794,5.894412135318247,0.0,市原市石塚,市原市石塚,code_in_car30
