TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計,いちいクリニック内科・皮膚科,いとうクリニック,おおはしアイクリニック,ぶんかばしファミリークリニック,今市病院,医療法人 博友会 日光腎クリニック,吉原医院,学校法人獨協学園 獨協医科大学日光医療センター,小沢医院,小泉内科クリニック,小西医院,山﨑内科医院,岡医院,岡村整形外科,川上病院,新沢外科,日光市民病院,日光市立小来川診療所,日光野口病院,木村内科医院,本町内科クリニック,栃木県県西保健所今市支所,森島こどもクリニック,森病院,沼尾医院,熊谷医院,石塚クリニック,荒井腎クリニック,藤原医院,見龍堂クリニックかわせみ,見龍堂医療福祉総合クリニック,阿久津医院,LON,LAT,dist_km,total_patients,town,town_norm,match_type
09206062000,日光市,山久保,日光市,山久保,日光市山久保,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,38.0,0.0,435.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,0.0,192.0,139.6482492111801,36.70912091423895,5.458290664479453,1035.0,日光市山久保,日光市山久保,code_in_car30
09205067000,鹿沼市,草久,鹿沼市,草久,鹿沼市草久,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.55595358806892,36.657820279747035,6.058594995677785,244.0,鹿沼市草久,鹿沼市草久,code_in_car30
09205064000,鹿沼市,板荷,鹿沼市,板荷,鹿沼市板荷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,219.0,1069.0,0.0,103.0,0.0,1287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,346.0,139.68469026102056,36.638337680070286,6.180953643867898,3291.0,鹿沼市板荷,鹿沼市板荷,code_in_car30
09206074004,日光市,千本木,日光市,千本木,日光市千本木,栃木県,日光市,千本木,,日光市千本木,9206.0,74004.0,4.0,486.0,17.0,31.0,28.0,18.0,15.0,14.0,15.0,28.0,47.0,41.0,31.0,26.0,26.0,33.0,33.0,42.0,22.0,11.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,5.0,3.0,1.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,281.0,36.0,289.0,233.0,0.0,0.0,0.0,0.0,0.0,540.0,0.0,0.0,48.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.0,0.0,267.0,139.68186699263313,36.7075570283645,7.096415294518312,2079.0,日光市千本木,日光市千本木,code_in_car30
09205054000,鹿沼市,引田,鹿沼市,引田,鹿沼市引田,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,139.66783106224315,36.61087735672415,7.138012417193135,644.0,鹿沼市引田,鹿沼市引田,code_in_car30
09205071000,鹿沼市,上久我,鹿沼市,上久我,鹿沼市上久我,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.60672527674205,36.60128662685417,7.1586652715978625,90.0,鹿沼市上久我,鹿沼市上久我,code_in_car30
09206073003,日光市,平ケ崎,日光市,平ケ崎,日光市平ケ崎,栃木県,日光市,平ケ崎,,日光市平ケ崎,9206.0,73003.0,4.0,1051.0,39.0,40.0,26.0,32.0,41.0,57.0,46.0,73.0,50.0,56.0,65.0,51.0,63.0,54.0,72.0,58.0,62.0,60.0,61.0,19.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,7.0,6.0,7.0,7.0,6.0,2.0,0.0,64.0,0.0,0.0,145.0,54.0,533.0,0.0,445.0,729.0,0.0,151.0,52.0,0.0,0.0,781.0,156.0,0.0,50.0,0.0,99.0,62.0,0.0,0.0,0.0,0.0,216.0,54.0,43.0,0.0,0.0,450.0,53.0,212.0,139.6760537845615,36.716245153266584,7.446868679332866,4285.0,日光市平ケ崎,日光市平ケ崎,code_in_car30
09206061000,日光市,和泉,日光市,和泉,日光市和泉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,0.0,187.0,0.0,299.0,0.0,36.0,597.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,264.0,0.0,128.0,139.66369884742977,36.72297251408537,7.451986616681721,1962.0,日光市和泉,日光市和泉,code_in_car30
09206084001,日光市,明神,日光市,明神,日光市明神,栃木県,日光市,明神,,日光市明神,9206.0,84001.0,4.0,935.0,30.0,35.0,39.0,39.0,29.0,30.0,34.0,30.0,59.0,59.0,56.0,60.0,51.0,80.0,101.0,84.0,54.0,40.0,18.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,6.0,9.0,9.0,6.0,5.0,2.0,1.0,0.0,59.0,0.0,0.0,118.0,0.0,262.0,36.0,395.0,577.0,0.0,0.0,0.0,36.0,0.0,190.0,0.0,0.0,145.0,0.0,154.0,0.0,40.0,34.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,101.0,33.0,372.0,139.70669225470022,36.683785406203555,7.73909022214339,2565.0,日光市明神,日光市明神,code_in_car30
09206060000,日光市,野口,日光市,野口,日光市野口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,817.0,0.0,0.0,404.0,0.0,66.0,0.0,0.0,0.0,1092.0,0.0,0.0,1233.0,0.0,253.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,675.0,0.0,0.0,399.0,139.65121298364198,36.73238365541001,7.970549795210834,5051.0,日光市野口,日光市野口,code_in_car30
