town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,学校法人獨協学園 獨協医科大学日光医療センター,今市病院,日光市民病院,岡村整形外科,阿久津医院,ぶんかばしファミリークリニック,石塚クリニック,藤原医院,吉原医院,見龍堂医療福祉総合クリニック,おおはしアイクリニック,山﨑内科医院,熊谷医院,いちいクリニック内科・皮膚科,日光野口病院,見龍堂クリニックかわせみ,新沢外科,医療法人 博友会 日光腎クリニック,木村内科医院,森病院,岡医院,川上病院,沼尾医院,小泉内科クリニック,栃木県県西保健所今市支所,森島こどもクリニック,小沢医院,本町内科クリニック,小西医院,いとうクリニック,荒井腎クリニック,日光市立小来川診療所
日光市今市,日光市,今市,09206071015,8.839888710259746,139.68570675592258,36.726099793522394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市瀬川,日光市,瀬川,09206072007,8.857331445903423,139.69519817101724,36.719309881739996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市瀬川,日光市,瀬川,09206072001,8.865766788683393,139.68461598755383,36.72709209893935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市今市,日光市,今市,09206071018,8.872500665060722,139.67774935156427,36.73110171959915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市今市,日光市,今市,09206071004,8.882671853057872,139.69309268225683,36.72134308595572,402.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,275.0,69.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市今市,日光市,今市,09206071014,8.908526107413497,139.68639252541655,36.726448850079194,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市今市,日光市,今市,09206071013,8.947124237544003,139.6877854498959,36.72597794705874,67.0,0.0,0.0,103.0,70.0,0.0,0.0,0.0,0.0,0.0,167.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,33.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市今市,日光市,今市,09206071005,8.999088602863697,139.68967868923465,36.725296526631304,192.0,192.0,0.0,0.0,82.0,0.0,0.0,0.0,391.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市今市本町,日光市,今市本町,09206120000,9.005911096524384,139.69867887304798,36.71825940764356,568.0,219.0,107.0,276.0,229.0,0.0,0.0,0.0,61.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,75.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市東和町,日光市,東和町,09206037000,9.016947890751075,139.62389281393044,36.745350286034636,123.0,0.0,34.0,154.0,127.0,0.0,0.0,83.0,0.0,100.0,0.0,0.0,0.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
