TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,町丁字コード6桁,地域階層レベル,総数,医療需要者数合計,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,5,男女,秘匿処理,秘匿先情報,合算地域,年齢「不詳」,（再掲）15歳未満,（再掲）15～64歳,（再掲）65歳以上,（再掲）75歳以上,（再掲）85歳以上,（再掲）20～69歳,-,-.1,かとうクリニック,かわづクリニック,のぞみ記念 下田循環器・腎臓クリニック,はらクリニック,ひがしなかクリニック,上の山鎮目クリニック,下田メディカルセンター,下田メディカルセンター附属みなとクリニック,佐倉医院,佐藤医院,公益社団法人地域医療振興協会 いなずさ診療所,公益社団法人地域医療振興協会 上河津診療所,公益社団法人地域医療振興協会 伊豆下田診療所,公益社団法人地域医療振興協会 伊豆今井浜病院,医療法人社団桑寿会 下田温泉病院,医療法人社団辰五会 ふれあい南伊豆ホスピタル,小川クリニック,市之瀬診療所,河井医院,白津医院,臼井医院,菊池医院,鈴木クリニック,飯島医院,LON,LAT,dist_km,total_patients,town,town_norm,match_type
22219013000,下田市,三丁目,下田市,三丁目,下田市三丁目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,352.0,70.0,1189.0,0.0,62.0,208.0,60.0,0.0,121.0,248.0,0.0,0.0,0.0,0.0,970.0,0.0,188.0,266.0,572.0,0.0,138.9449211680365,34.66862949391804,1.422514549321664,4306.0,下田市三丁目,下田市三丁目,code_in_car30
22219062000,下田市,柿崎,下田市,柿崎,下田市柿崎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,518.0,924.0,986.0,0.0,0.0,0.0,0.0,0.0,0.0,369.0,437.0,0.0,0.0,0.0,643.0,0.0,68.0,208.0,0.0,228.0,138.95518394151935,34.67359899430392,1.5564010146186988,4381.0,下田市柿崎,下田市柿崎,code_in_car30
22219071000,下田市,白浜,下田市,白浜,下田市白浜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,505.0,574.0,629.0,0.0,270.0,0.0,273.0,0.0,71.0,195.0,233.0,0.0,0.0,0.0,874.0,0.0,883.0,485.0,0.0,0.0,138.96542917502885,34.68917784571961,2.4401757816585716,4992.0,下田市白浜,下田市白浜,code_in_car30
22219032000,下田市,蓮台寺,下田市,蓮台寺,下田市蓮台寺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.0,0.0,0.0,0.0,136.0,0.0,384.0,0.0,234.0,0.0,77.0,237.0,606.0,65.0,0.0,0.0,0.0,0.0,154.0,0.0,85.0,274.0,168.0,0.0,138.92733370256897,34.70249799786451,2.690294274267878,2584.0,下田市蓮台寺,下田市蓮台寺,code_in_car30
22219031000,下田市,河内,下田市,河内,下田市河内,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1098.0,388.0,712.0,0.0,125.0,83.0,187.0,54.0,417.0,792.0,0.0,0.0,0.0,57.0,1059.0,0.0,523.0,127.0,976.0,104.0,138.9447027596351,34.705248862120285,2.7276853774269867,6702.0,下田市河内,下田市河内,code_in_car30
22219064000,下田市,柿崎,下田市,柿崎,下田市柿崎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,218.0,258.0,208.0,0.0,0.0,0.0,0.0,0.0,43.0,255.0,0.0,0.0,0.0,0.0,43.0,0.0,63.0,44.0,0.0,0.0,138.97084254268466,34.675713258562006,2.817565003955489,1132.0,下田市柿崎,下田市柿崎,code_in_car30
22219052000,下田市,大賀茂,下田市,大賀茂,下田市大賀茂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,84.0,597.0,377.0,1640.0,0.0,895.0,0.0,65.0,74.0,150.0,647.0,154.0,355.0,0.0,0.0,633.0,0.0,77.0,231.0,79.0,499.0,138.90574728338188,34.680007832962325,3.1971086218898477,6557.0,下田市大賀茂,下田市大賀茂,code_in_car30
22219033000,下田市,大沢,下田市,大沢,下田市大沢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,620.0,0.0,90.0,761.0,353.0,1304.0,0.0,742.0,115.0,281.0,157.0,0.0,935.0,428.0,337.0,139.0,302.0,1496.0,267.0,680.0,158.0,204.0,87.0,138.9094416722458,34.693929999460856,3.201666396896089,9456.0,下田市大沢,下田市大沢,code_in_car30
22219051000,下田市,吉佐美,下田市,吉佐美,下田市吉佐美,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,89.0,67.0,193.0,694.0,1652.0,3069.0,0.0,85.0,0.0,159.0,0.0,319.0,334.0,0.0,91.0,0.0,0.0,1297.0,73.0,425.0,718.0,0.0,80.0,138.92501927938935,34.654567751011996,3.2641304259867563,9345.0,下田市吉佐美,下田市吉佐美,code_in_car30
22219072000,下田市,白浜,下田市,白浜,下田市白浜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.0,108.0,0.0,0.0,0.0,0.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,70.0,0.0,0.0,138.96463841547487,34.70373774374639,3.349422266520155,610.0,下田市白浜,下田市白浜,code_in_car30
22219034000,下田市,大沢,下田市,大沢,下田市大沢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.91487648429867,34.702977590512816,3.4022793310873616,0.0,下田市大沢,下田市大沢,code_in_car30
22219063000,下田市,須崎,下田市,須崎,下田市須崎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,0.0,50.0,0.0,676.0,1270.0,1609.0,0.0,219.0,0.0,0.0,0.0,255.0,859.0,54.0,382.0,0.0,47.0,458.0,0.0,679.0,304.0,173.0,0.0,138.96866579702566,34.654870707642004,3.8662585658795914,7096.0,下田市須崎,下田市須崎,code_in_car30
