town_name_show,dist_km,むつ総合病院,中央クリニックモール,医療法人章士会 三上医院,みちのくクリニック,村中内科・心療内科医院,医療法人白心会北村医院 むつレディスクリニック,医療法人佑心会角田整形外科医院,千田病院,東通地域医療センター 東通村診療所,たなか泌尿器科クリニック,みどりが丘整形外科クリニック,ちば小児科アレルギー科クリニック,医療法人道坤会 菊池医院,白糠診療所
むつ市小川町一丁目,11.142319388084974,5786.0,0.0,0.0,0.0,691.0,0.0,0.0,1493.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字田名部字椛山,11.332765539910667,559.0,0.0,0.0,163.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字関根字水川目,11.4018607972685,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0
むつ市金谷一丁目,11.612513339922266,2782.0,926.0,0.0,0.0,0.0,0.0,648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字田名部字松山,11.737822319553965,22.0,88.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字田名部字女舘,11.950741899399977,847.0,0.0,298.0,323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市金谷二丁目,12.037460863583926,1445.0,773.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市中央一丁目,12.490115061460486,0.0,374.0,0.0,511.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0
むつ市中央二丁目,12.74447546837544,1559.0,885.0,0.0,636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字関根字名古平,12.763690900010568,50.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字田名部字二又川目,13.094826075015337,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字関根字北関根,13.230718711304357,1091.0,0.0,793.0,549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字田名部字高田,13.302076662297694,81.0,89.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字関根字南関根,13.667705685390878,709.0,0.0,966.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0
むつ市大字田名部字宮後,13.865113978769232,261.0,0.0,0.0,0.0,0.0,173.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0
むつ市大字田名部字落野沢,14.018408158395857,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0
むつ市大字田名部字二又,14.258302552308214,71.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字大平字山田,14.434156091012367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字田名部字十二林,14.61622397839537,150.0,119.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字関根字出戸川目,14.682226184815853,145.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0
むつ市大字大平字梨子木平,14.77123395873919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字大平字落野沢,14.805190598875027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字大平字荒川,14.9662772225698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字大平字多賀道,15.067904465996401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字大湊字近川,15.280528312214061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0
むつ市大字関根字高梨川目,15.303090393371022,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0
