医療機関名,保険区分,都道府県名,市区町村名,所在地,緯度,経度,distance_km,病床数計,診療科目
医療法人社団　高美会　さやか美容クリニック・町田,医科,東京都,町田市,町田市原町田六丁目２１番２６号　４階,35.54279,139.44795,22.353631423275036,0,美外 美容皮膚科 皮
脳神経まちだクリニック,医科,東京都,町田市,町田市原町田６丁目２１－２６　フォーラム町田３Ｂ,35.54279,139.44795,22.353631423275036,0,脳外 脳内 内
南町診療所,医科,東京都,足立区,足立区本木南町１３番２号,35.76211,139.78328,22.354865463079822,0,内 外 小 皮 放
公益財団法人　早期胃癌検診協会　附属茅場町クリニック,医科,東京都,中央区,中央区日本橋茅場町二丁目６番１２号,35.67942,139.7785,22.355978297103956,0,内 消化器内科
医療法人社団　清心会　清水医院,医科,東京都,荒川区,荒川区荒川一丁目４番１４号,35.73544,139.78638,22.356138496738023,0,内 他
人形町整形ペイン・リハビリテーションクリニック,医科,東京都,中央区,中央区日本橋堀留町一丁目８番１２号　さくら掘留ビル３階,35.68744,139.78087,22.357561082100084,0,ペインクリニック・整形外科 整外 リハ
井上クリニック,医科,東京都,大田区,大田区千鳥一丁目５番３号　川上ビル１階,35.5729,139.69359,22.357829293758073,0,内 小 循環器内科
川野循環器内科医院,医科,神奈川県,横浜市港北区,横浜市港北区綱島西４－８－１８　川野ビル３階,35.54197,139.62721,22.35873606983193,0,内 循内 小
医療法人社団　やよい会　あだち入谷舎人クリニック,医科,東京都,足立区,足立区入谷一丁目１４番１７号,35.80458,139.76889,22.364158159088603,0,内 人工透析内科
医療法人社団　秀輝会　目蒲病院,医科,東京都,大田区,大田区下丸子三丁目２３番３号,35.56786,139.68564,22.364524404973942,63,内 外 整外 リハ 神内 リウ 糖尿病・代謝内科 ペインクリニック整形外科 呼内 循環器内科
大井クリニック,医科,東京都,品川区,品川区東大井五丁目１番７号,35.60827,139.7361,22.364843625707017,0,内 他 小 皮
青山内科医院,医科,神奈川県,相模原市中央区,相模原市中央区矢部３－１６－１４,35.5719,139.38542,22.365578021368165,0,内 消
村田皮膚科医院,医科,東京都,台東区,台東区浅草橋一丁目２５番１０号　Ｙ・ハヤシ・ビルド３階３－Ａ,35.69839,139.78352,22.368064179585268,0,皮
パピルスクリニック,医科,東京都,荒川区,荒川区東日暮里二丁目５番５号　パピルス１階,35.72925,139.78661,22.368950965217362,0,精 外 リハ 整外
角レディースクリニック,医科,東京都,品川区,品川区東大井五丁目２番３号　Ｋ－１５ビル　３階３０２,35.60796,139.73587,22.36917226992115,0,産婦 内
大井町心臓クリニック,医科,東京都,品川区,品川区東大井五丁目２番３号　かんべ土地Ｋ－１５ビル（おおい元気館）３階,35.60796,139.73587,22.36917226992115,0,循環器内科 内
長谷川皮膚科内科医院,医科,東京都,品川区,品川区東大井五丁目２番３号　３階,35.60796,139.73587,22.36917226992115,0,皮 内
品川大井町整形外科・リハビリクリニック,医科,東京都,品川区,品川区東大井５丁目２－３　Ｋ－１５ビル３階,35.60796,139.73587,22.36917226992115,0,整外 リハ
林小児科内科医院,医科,東京都,品川区,品川区大井三丁目６番１２号　ＮＡビル２階,35.60276,139.73087,22.372294643732275,0,小 内
医療法人社団　永光会　林耳鼻咽喉科医院,医科,東京都,品川区,品川区大井三丁目６番１２号　ＮＡビル１階,35.60276,139.73087,22.372294643732275,0,耳い
かねこ眼科医院,医科,東京都,品川区,品川区大井五丁目２８番１１号,35.59792,139.72591,22.37586710120783,0,眼
しらはた胃腸肛門クリニック横浜,医科,神奈川県,横浜市緑区,横浜市緑区長津田５－６－３２,35.5313,139.4978,22.37781420786797,0,【主 内視内】 肛外 胃内 漢内
ワールドシティ益子クリニック,医科,東京都,港区,港区港南四丁目６番７号　ワールドシティタワーズキャピタルタワー３階,35.62641,139.75139,22.37881963554417,0,内 小
