医療機関名,保険区分,都道府県名,市区町村名,所在地,緯度,経度,distance_km,病床数計,診療科目
医療法人社団　明芳会　イムスリハビリテーションセンター東京葛飾病院,医科,東京都,葛飾区,葛飾区堀切三丁目２６番５号,35.74497,139.83171,26.491243133781015,100,リハ
医療法人社団　日岩会　下井病院,医科,東京都,足立区,足立区綾瀬三丁目２８番８号,35.76556,139.82915,26.503315275622615,95,整外 内 消 循環器内科 リハ
医療法人社団　英治会　立花診療所,医科,東京都,墨田区,墨田区立花一丁目２３番　サンタウン立花２号棟１０４号,35.70654,139.8313,26.53266976454984,0,内 小 皮 放 神内 消 循 呼
医療法人社団　純正会　青梅東部病院,医科,東京都,青梅市,青梅市黒沢一丁目６１９番地９,35.81591,139.26451,26.534722438721715,180,内 精 神内
神奈川病院,医科,神奈川県,横浜市旭区,横浜市旭区川井本町１２２－１,35.49234,139.50906,26.53758400376088,163,精 神 内
あさひの丘病院,医科,神奈川県,横浜市旭区,横浜市旭区川井本町１２８－１,35.49234,139.50906,26.53758400376088,240,精 神 心内 内
鶴ヶ島池ノ台病院,医科,埼玉県,鶴ヶ島市,鶴ケ島市大字脚折１４４０番地２,35.93877,139.39644,26.547734055375003,90,外 内 整外 ひ 神内 循 こう 呼 胃
九十九園診療所,医科,東京都,青梅市,青梅市成木一丁目６３４番地７,35.83736,139.27597,26.555985040029466,0,内
篠原診療所,医科,東京都,葛飾区,葛飾区四つ木四丁目１５番１５号,35.7382,139.83296,26.56776301886641,0,内 小 外
下千葉診療所,医科,東京都,葛飾区,葛飾区堀切七丁目１３番２４号,35.75463,139.83159,26.56903102428591,0,内 小 外
医療法人社団　幸栄会　幸和診療所,医科,東京都,大田区,大田区萩中三丁目２９番５号　地下１階・地上１階,35.55122,139.73431,26.57671970180203,0,内
鶴ケ島在宅医療診療所,医科,埼玉県,鶴ヶ島市,鶴ケ島市高倉７７２－１,35.93323,139.38388,26.587329067614693,19,内 外 リハ 耳い
医療法人正永会　港北病院,医科,神奈川県,横浜市保土ケ谷区,横浜市保土ケ谷区新井町４８６,35.49102,139.55637,26.595297882454982,210,精 神 歯
医療法人財団　寿康会　寿康会病院,医科,東京都,江東区,江東区北砂二丁目１番２２号,35.67887,139.82729,26.656915150080852,49,内 外 整外 小 呼内 心内 皮 リハ 循環器内科
みどり野リハビリテーション病院,医科,神奈川県,大和市,大和市中央林間２－６－１７,35.50225,139.44586,26.657570032955206,136,リハ
埼友草加病院,医科,埼玉県,草加市,草加市松原１丁目７番２２号,35.84349,139.79906,26.664823998058324,36,腎内 内 脳外 ひ 整外 精 リハ 形外 糖尿病・内分泌内科 血外 循内 消内
医療法人社団　松友会　上相原病院,医科,東京都,町田市,町田市相原町５０９８番地,35.61566,139.27902,26.67683180129097,92,内
かわさき診療所,医科,神奈川県,川崎市川崎区,川崎市川崎区砂子２－６－２　三恵ビル１０階Ａ号室,35.52881,139.70003,26.67720701207863,0,精 心内 内
医療法人社団　藤﨑病院,医科,東京都,江東区,江東区南砂一丁目２５番１１号,35.67661,139.82692,26.679180217095222,145,内 胃 循 外 整外 脳外 リハ 放 麻 こう
医療法人社団　順風会　上尾の森診療所,医科,埼玉県,上尾市,上尾市中分１－１７４－２,35.96938,139.5576,26.697279381312768,19,精 神 心内
後藤眼科診療所,医科,東京都,青梅市,青梅市森下町５０８番地,35.79031,139.2523,26.71346138078649,8,眼
藤田診療所,医科,埼玉県,比企郡川島町,比企郡川島町大字下伊草１５５－１４,35.96305,139.46758,26.7220824479092,0,内
医療法人興生会　相模台病院,医科,神奈川県,座間市,座間市相模が丘６－２４－２８,35.50677,139.42834,26.731270411036196,306,内 外 整外 ひ 精 眼 皮 小 神内 麻 リハ 放 呼内 消内 循内 肛外 腎内 内泌内 糖内 人透内
八王子保健生活協同組合　城山病院,医科,東京都,八王子市,八王子市元八王子町三丁目２８７２番地１,35.65186,139.2587,26.738191668041456,199,内 循 リハ 神内 消化器内科 ひ 整外 内分泌科
発達支援センター診療所,医科,埼玉県,草加市,草加市松原一丁目３番１号　草加市子育て支援センター３階,35.84548,139.7989,26.75755536595978,0,リハ 他
徳田病院,医科,神奈川県,横浜市鶴見区,横浜市鶴見区佃野町２９－３,35.51475,139.67236,26.784046852904535,60,内 小 呼内 放 胃内 循内
北台診療所,医科,神奈川県,横浜市鶴見区,横浜市鶴見区東寺尾北台７－８,35.51164,139.66464,26.789650466343694,0,内 放
海の診療所　羽田内科クリニック,医科,神奈川県,相模原市中央区,相模原市中央区田名４４３４－４,35.55123,139.33969,26.793263559178744,0,内 呼内 神内 消内 循内
恒春会　馬嶋病院,医科,神奈川県,川崎市川崎区,川崎市川崎区日進町２４－１５,35.52435,139.69409,26.809259418101018,85,内 外 整外 放 麻 皮 リハ 胃内
髙野病院,医科,東京都,大田区,大田区東糀谷三丁目３番２４号,35.5528,139.74048,26.821310553268635,80,内 外 整外 脳外 皮 眼 リハ
丘整形外科病院,医科,神奈川県,相模原市南区,相模原市南区新磯野２－７－１０,35.51432,139.40445,26.85896077376369,72,整外 リハ 麻 内 脳外 形外 美外
社会医療法人社団　順江会　江東病院附属在宅診療所,医科,東京都,江東区,江東区大島五丁目７番５号　ヤマキビル大島５階,35.68948,139.83269,26.910500436587483,0,内 皮 老年内科 緩和ケア内科
医療法人社団　ひらの亀戸ひまわり診療所,医科,東京都,江東区,江東区亀戸七丁目１０番１号　Ｚビル２階,35.69728,139.83418,26.911782117390928,0,内 小 整外 精
東京都京浜島工業団地協同組合連合会診療所,医科,東京都,大田区,大田区京浜島二丁目１０番２号　京浜島会館１階,35.57067,139.76363,26.938159476813414,0,内 外
医療法人社団博奉会　相模ケ丘病院,医科,神奈川県,相模原市南区,相模原市南区下溝４３７８,35.52137,139.38672,26.943106680943625,200,精 心内
医療法人社団　渡辺病院,医科,東京都,大田区,大田区羽田一丁目５番１６号,35.5515,139.74077,26.945389477105323,84,内 小 外 整外 ひ リハ 乳腺外科
医療法人社団　白報会　そうか在宅診療所,医科,埼玉県,草加市,草加市栄町３－１－１４－３,35.84485,139.80225,26.98968923455167,0,内 精 皮 眼 耳い
