town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,林医院,おおすが内科クリニック,安田内科クリニック,ウェルネス高井クリニック,みのかも西クリニック,医療法人香徳会 関中央病院,岐阜県厚生農業協同組合連合会 中濃厚生病院,藤井クリニック,土屋クリニック,中部国際医療センター,医療法人社団秀洋会 阿知波医院,下條内科クリニック,なかの内科クリニック,臼井ハツラツクリニック,堀部医院,林クリニック,美濃市立美濃病院,山手クリニック,てらしまクリニック,いとしろクリニック,小島内科,さぐち内科,石木クリニック,真鍋内科,西田醫院,関市国民健康保険津保川診療所,こくぼクリニック,竹内医院,杉山クリニック,大矢クリニック,青山内科,カブチ山田クリニック,みの長村医院,医療法人清仁会 のぞみの丘ホスピタル,医療法人春陽会 慈恵中央病院,明星診療所,滝谷医院,みうら内科・糖尿病クリニック,一般財団法人岐阜健康管理センター すこやかクリニック,大前医院おぜ診療所,いこまファミリークリニック
関市下之保,関市,下之保,21205948004,3.278793743747687,137.00676228203378,35.55448657449519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市中之保,関市,中之保,21205949007,3.294297603373046,137.04826443198675,35.59299267750553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,61.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市上之保山本,関市,上之保山本,21205958000,3.5208587408400955,137.0261051936627,35.61345273036063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市中之保,関市,中之保,21205949008,3.5797363391352945,137.05182459795464,35.57449737999245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市下之保,関市,下之保,21205948005,3.7989644640639697,136.99205120102638,35.55418127547788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市下之保,関市,下之保,21205948003,4.000058833095413,137.0229692129974,35.5482240306965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市上之保川合下,関市,上之保川合下,21205955000,4.269422831331583,137.04561307843957,35.61178075226074,0.0,0.0,0.0,123.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
美濃市上河和,美濃市,上河和,21207031002,4.330957155542793,136.97113704675567,35.601134224513466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市中之保,関市,中之保,21205949009,4.377729327116446,137.05788791838103,35.567179758723974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
美濃市上河和,美濃市,上河和,21207031001,4.425195332893375,136.96625356526076,35.5928661722315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
関市下之保,関市,下之保,21205948010,4.458224183585486,137.0052479657978,35.543927027927666,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
七宗町神淵,七宗町,神淵,21504001009,4.523916248974102,137.06327929500358,35.58936858218778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
