town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,小林内科クリニック,鳥羽市休日・夜間応急診療所,赤坂クリニック,中村クリニック,医療法人(社団)医心会齋木内科,おかむらクリニック,三重県立志摩病院,医療法人山﨑整形外科,近藤医院,でぐち内科クリニック,志摩市休日夜間応急診療所,服部内科,豊和病院,林クリニック,二見浦内科 アレルギー科・皮フ科・小児科,池田ファミリークリニック,医療法人日比クリニック,鳥羽市立長岡診療所,伊勢志摩腎クリニック志摩分院,おかむね医院,西岡記念セントラルクリニック,医療法人社団中瀬外科整形外科,近藤内科,鳥羽市立鏡浦診療所今浦分室,鳥羽市立鏡浦診療所,尾崎内科,鳥羽市立鏡浦診療所石鏡分室,谷岡医院
鳥羽市堅神町,鳥羽市,堅神町,24211007000,12.064113851414787,136.81546413283726,34.471092928747844,1676.0,931.0,84.0,451.0,131.0,54.0,265.0,50.0,0.0,0.0,56.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0
鳥羽市屋内町,鳥羽市,屋内町,24211009000,12.160567253258447,136.8250041130699,34.47845751795754,2327.0,81.0,0.0,259.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鳥羽市池上町,鳥羽市,池上町,24211008000,12.234343784934815,136.82784888856548,34.48089611351174,7064.0,970.0,419.0,277.0,62.0,0.0,0.0,402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鳥羽市鳥羽一丁目,鳥羽市,鳥羽一丁目,24211001001,12.294354987828953,136.83747209967152,34.48637774376068,1304.0,259.0,182.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0
志摩市磯部町山原,志摩市,磯部町山原,24215033000,12.331475739957224,136.7713246241821,34.36483223900384,517.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,91.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
志摩市阿児町神明,志摩市,阿児町神明,24215002000,12.431386443095723,136.81983586002343,34.30092500132454,1228.0,298.0,46.0,167.0,1680.0,2298.0,1656.0,213.0,1080.0,0.0,343.0,747.0,273.0,164.0,0.0,297.0,143.0,0.0,148.0,77.0,0.0,136.0,0.0,0.0,66.0,55.0,0.0,0.0
志摩市磯部町築地,志摩市,磯部町築地,24215032000,12.605368321482912,136.7652113814449,34.38237525969307,559.0,0.0,0.0,0.0,856.0,0.0,84.0,85.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
志摩市阿児町立神,志摩市,阿児町立神,24215003000,12.890049180060883,136.8303677833043,34.290047786325275,180.0,59.0,0.0,0.0,308.0,443.0,276.0,58.0,196.0,0.0,235.0,607.0,53.0,207.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
志摩市阿児町鵜方,志摩市,阿児町鵜方,24215001000,12.917040860032472,136.80056209367032,34.309354255693414,3528.0,164.0,0.0,552.0,4903.0,4674.0,3800.0,562.0,4692.0,181.0,2351.0,1187.0,2269.0,2233.0,243.0,2086.0,513.0,0.0,1273.0,91.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0
伊勢市朝熊町,伊勢市,朝熊町,24203062000,14.87148162421049,136.77949975594157,34.47694088445812,1715.0,0.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
