town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,下田メディカルセンター,公益社団法人地域医療振興協会 伊豆今井浜病院,河井医院,ひがしなかクリニック,医療法人社団健育会西伊豆健育会病院,上の山鎮目クリニック,公益社団法人地域医療振興協会 上河津診療所,菊池医院,佐倉医院,臼井医院,医療法人社団康心会 康心会伊豆東部病院,飯島医院,かわづクリニック,白津医院,公益社団法人地域医療振興協会 いなずさ診療所,佐藤医院,医療法人社団桑寿会 下田温泉病院,公益社団法人地域医療振興協会 伊豆下田診療所,鈴木クリニック,医療法人慈愛会 石田医院,医療法人社団辰五会 ふれあい南伊豆ホスピタル,はらクリニック,中江医院,かとうクリニック,のぞみ記念 下田循環器・腎臓クリニック,小川クリニック,下田メディカルセンター附属みなとクリニック
下田市敷根,下田市,敷根,22219021000,4.597825595491554,138.93575574067614,34.68174226463278,267.0,0.0,452.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市六丁目（旧岡方村）,下田市,六丁目（旧岡方村）,22219016001,4.615066374159362,138.92813102629066,34.681419906639086,891.0,832.0,516.0,169.0,255.0,0.0,88.0,178.0,1143.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市西本郷一丁目,下田市,西本郷一丁目,22219024001,4.733406046229575,138.94288754201767,34.681520346515626,667.0,105.0,0.0,0.0,0.0,205.0,0.0,125.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市中,下田市,中,22219036000,4.80676514742373,138.95095283542167,34.68301326943528,539.0,594.0,189.0,271.0,51.0,216.0,0.0,49.0,220.0,31.0,0.0,0.0,0.0,0.0,181.0,51.0,0.0,0.0,106.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0
下田市白浜,下田市,白浜,22219071000,4.9164637184244,138.96542917502885,34.68917784571961,629.0,195.0,874.0,505.0,0.0,574.0,0.0,485.0,270.0,883.0,0.0,0.0,0.0,0.0,273.0,0.0,233.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市東本郷一丁目,下田市,東本郷一丁目,22219022001,4.94774604775538,138.9457357406586,34.68015184674674,396.0,29.0,0.0,28.0,0.0,92.0,0.0,68.0,0.0,110.0,37.0,35.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0
河津町谷津,河津町,谷津,22302008000,5.056995809853912,138.9804581933101,34.74261907229504,146.0,450.0,393.0,63.0,0.0,0.0,879.0,0.0,0.0,65.0,345.0,0.0,421.0,0.0,0.0,154.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0
下田市六丁目（旧岡方村）,下田市,六丁目（旧岡方村）,22219016002,5.133828669069447,138.9279490189307,34.676756369444,295.0,0.0,57.0,0.0,0.0,452.0,0.0,127.0,168.0,59.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0
下田市一丁目,下田市,一丁目,22219011000,5.263994481359585,138.94397371192036,34.67682724590667,378.0,312.0,780.0,403.0,0.0,1804.0,0.0,1244.0,166.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市大賀茂,下田市,大賀茂,22219052000,5.280568659096435,138.90574728338188,34.680007832962325,1640.0,647.0,633.0,597.0,68.0,377.0,74.0,231.0,895.0,77.0,0.0,499.0,0.0,0.0,65.0,0.0,154.0,150.0,79.0,0.0,355.0,84.0,0.0,0.0,0.0,0.0,0.0
