town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,小田原市立病院,医療法人 同愛会 小澤病院,山近記念クリニック,小田原市休日夜間急患診療所,久保クリニック,杏林堂クリニック,医療法人 高見澤クリニック,医療法人邦友会 湯河原循環器クリニック,鴨宮クリニック,医療法人尽誠会 山近記念総合病院,国際医療福祉大学熱海病院,独立行政法人地域医療機能推進機構 湯河原病院,医療法人社団 帰陽会 丹羽病院,湯河原胃腸病院,さかわ内科クリニック,森本内科医院,こまつクリニック,真鶴町国民健康保険診療所,城山クリニック,小田原銀座クリニック,しみず扇町クリニック,訪問診療めじろクリニック,本多記念青野クリニック,クリニック山田,漢和クリニック,小島クリニック,医療法人社団 福井内科消化器科クリニック,扇町しらさぎ内科クリニック,YKいわさきクリニック,おだわら泌尿器科・内科クリニック,菊地医院,古藤内科小児科クリニック,鴨宮さとう内科クリニック,清水内科クリニック,医療法人社団 雨宮内科医院,特定医療法人社団研精会 箱根リハビリテーション病院附属ゆい小田原クリニック,ひまわりメンタルクリニック,独立行政法人国立病院機構 箱根病院,五十子内科医院,医療法人社団 川_内科医院,河西クリニック,医療法人 武井内科医院,安間医院,窪倉医院,いがらし胃腸科内科クリニック,循環器中町クリニック,医療法人社団湘星会 小田原腎内科クリニック,医療法人 小林病院,湯河原ホームクリニック,医療法人社団ちとせ会 熱海ちとせ病院,医療法人山田クリニック,浜辺の診療所,あおぞらクリニック,西湘診療所,川邊小児科内科医院,小田原レディスクリニック,医療法人社団伊豆七海会 熱海所記念病院,朝倉医院,仁天堂医院,医療法人財団報徳会 西湘病院
小田原市本町四丁目,小田原市,本町四丁目,14206012004,9.991841757112697,139.15688427356545,35.245452936932104,294.0,1009.0,40.0,37.0,37.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,94.0,87.0,0.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,74.0,0.0,0.0,0.0,38.0,0.0,47.0,42.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,44.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
小田原市風祭,小田原市,風祭,14206063000,10.110621484318985,139.12683515865058,35.248178279157116,532.0,586.0,337.0,0.0,42.0,41.0,59.0,0.0,0.0,110.0,0.0,0.0,104.0,0.0,0.0,141.0,0.0,0.0,52.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小田原市板橋,小田原市,板橋,14206061000,10.13111058021379,139.13928214425584,35.24849797001536,1580.0,2262.0,527.0,332.0,103.0,228.0,380.0,73.0,92.0,388.0,106.0,0.0,319.0,0.0,40.0,500.0,0.0,0.0,237.0,288.0,281.0,49.0,420.0,0.0,0.0,133.0,0.0,111.0,35.0,97.0,32.0,32.0,44.0,0.0,0.0,0.0,0.0,781.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,73.0,0.0,31.0,0.0,0.0,1124.0,0.0,0.0,336.0,0.0,110.0,67.0,0.0,40.0,0.0
小田原市南町一丁目,小田原市,南町一丁目,14206017001,10.208948910848763,139.15244549205502,35.24810676910722,149.0,195.0,57.0,0.0,0.0,57.0,0.0,0.0,65.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0
小田原市本町三丁目,小田原市,本町三丁目,14206012003,10.244524581660787,139.16011009130028,35.24719928398532,547.0,1949.0,45.0,46.0,0.0,47.0,96.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,96.0,0.0,0.0,0.0,95.0,53.0,106.0,0.0,749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,46.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
小田原市十字,小田原市,十字,14206042000,10.25177394518293,139.14680693926496,35.249118854051176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
箱根町大平台,箱根町,大平台,14382009000,10.273089345129897,139.07479007739872,35.23590307110071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小田原市城山四丁目,小田原市,城山四丁目,14206031004,10.333976265670778,139.1482530884943,35.24972660425996,32.0,569.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,0.0,0.0,51.0,0.0,0.0,154.0,0.0,81.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,168.0,0.0,0.0,54.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0
小田原市本町一丁目,小田原市,本町一丁目,14206012001,10.441699342431361,139.15786936122984,35.24941784527213,57.0,1568.0,0.0,0.0,0.0,64.0,64.0,0.0,0.0,79.0,0.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0
小田原市城内,小田原市,城内,14206016000,10.544292206224322,139.15492485112492,35.2508214635629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小田原市本町二丁目,小田原市,本町二丁目,14206012002,10.612098738339556,139.16047893563456,35.25052218399586,1662.0,2540.0,80.0,122.0,296.0,135.0,88.0,87.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,35.0,0.0,0.0,143.0,322.0,38.0,0.0,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,374.0,0.0,38.0,38.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,40.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0
小田原市浜町三丁目,小田原市,浜町三丁目,14206008003,10.657273648893261,139.1641275003547,35.25021231184871,452.0,1356.0,72.0,469.0,48.0,0.0,104.0,0.0,150.0,160.0,0.0,52.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,369.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,505.0,0.0
小田原市城山三丁目,小田原市,城山三丁目,14206031003,10.78569226859876,139.14931294249226,35.25371292797618,946.0,707.0,123.0,108.0,0.0,47.0,0.0,0.0,0.0,0.0,125.0,57.0,314.0,0.0,64.0,376.0,0.0,0.0,233.0,0.0,57.0,0.0,107.0,0.0,107.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小田原市水之尾,小田原市,水之尾,14206065000,10.803403418394657,139.13022014218785,35.25456258539075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小田原市栄町一丁目,小田原市,栄町一丁目,14206001001,10.913017722889357,139.1572773135897,35.25383729903024,90.0,357.0,97.0,33.0,81.0,78.0,188.0,0.0,29.0,56.0,0.0,0.0,0.0,0.0,0.0,97.0,28.0,0.0,0.0,161.0,65.0,0.0,29.0,0.0,0.0,0.0,27.0,37.0,0.0,148.0,28.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,23.0,0.0,0.0,0.0,25.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0
小田原市浜町一丁目,小田原市,浜町一丁目,14206008001,10.9162190299864,139.163391730012,35.25276781969737,210.0,1086.0,214.0,29.0,32.0,128.0,31.0,0.0,0.0,129.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,247.0,35.0,0.0,210.0,47.0,0.0,0.0,0.0,35.0,0.0,283.0,304.0,0.0,190.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,396.0,0.0,0.0,0.0,80.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,75.0,38.0
小田原市緑,小田原市,緑,14206041000,11.04272132906315,139.1439130444352,35.25648285430969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小田原市浜町四丁目,小田原市,浜町四丁目,14206008004,11.119655913119177,139.16834070618273,35.25358040713495,368.0,1402.0,191.0,253.0,85.0,140.0,0.0,0.0,0.0,116.0,0.0,0.0,113.0,0.0,85.0,78.0,0.0,0.0,347.0,0.0,33.0,0.0,176.0,36.0,0.0,0.0,0.0,79.0,0.0,113.0,279.0,0.0,42.0,127.0,97.0,0.0,0.0,333.0,0.0,0.0,0.0,0.0,0.0,41.0,42.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0
